I, 2023-03-21 17,23,36,131, [080-exec-5],           Controller, 87b76b2de1bd, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld6, Run,1, Overall Query Processing Time,71, Query Planning Time,47, Compile Time,2, Execution time,22,overallNumberOfRequestsIssuedAtCache,33,numberOfSPARQLRequestsIssuedAtCache,4,numberOfTPFRequestsIssuedAtCache,26,numberOfBRTPFRequestsIssuedAtCache,3
I, 2023-03-21 17,23,37,534, [080-exec-6],           Controller, b3df4a251ad8, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld7, Run,1, Overall Query Processing Time,336, Query Planning Time,59, Compile Time,0, Execution time,277,overallNumberOfRequestsIssuedAtCache,83,numberOfSPARQLRequestsIssuedAtCache,42,numberOfTPFRequestsIssuedAtCache,0,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 17,23,38,840, [080-exec-7],           Controller, b9212b9b2f87, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld8, Run,1, Overall Query Processing Time,256, Query Planning Time,86, Compile Time,2, Execution time,168,overallNumberOfRequestsIssuedAtCache,320,numberOfSPARQLRequestsIssuedAtCache,10,numberOfTPFRequestsIssuedAtCache,286,numberOfBRTPFRequestsIssuedAtCache,24
I, 2023-03-21 17,23,40,12, [080-exec-8],           Controller, 7048cbc2d03d, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls1, Run,1, Overall Query Processing Time,118, Query Planning Time,1, Compile Time,0, Execution time,117,overallNumberOfRequestsIssuedAtCache,13,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,12,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,23,41,183, [080-exec-9],           Controller, 3f3529cdd324, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls2, Run,1, Overall Query Processing Time,123, Query Planning Time,105, Compile Time,0, Execution time,18,overallNumberOfRequestsIssuedAtCache,17,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,14,numberOfBRTPFRequestsIssuedAtCache,1
I, 2023-03-21 17,23,45,144, [80-exec-10],           Controller, ff6e900a2860, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls3, Run,1, Overall Query Processing Time,2841, Query Planning Time,41, Compile Time,7, Execution time,2793,overallNumberOfRequestsIssuedAtCache,5050,numberOfSPARQLRequestsIssuedAtCache,146,numberOfTPFRequestsIssuedAtCache,4632,numberOfBRTPFRequestsIssuedAtCache,272
I, 2023-03-21 17,23,46,392, [080-exec-1],           Controller, 958193d036e9, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls4, Run,1, Overall Query Processing Time,77, Query Planning Time,55, Compile Time,0, Execution time,22,overallNumberOfRequestsIssuedAtCache,11,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,7,numberOfBRTPFRequestsIssuedAtCache,4
I, 2023-03-21 17,23,49,170, [080-exec-2],           Controller, 90f58eae1370, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls5, Run,1, Overall Query Processing Time,1757, Query Planning Time,40, Compile Time,1, Execution time,1716,overallNumberOfRequestsIssuedAtCache,2893,numberOfSPARQLRequestsIssuedAtCache,132,numberOfTPFRequestsIssuedAtCache,2672,numberOfBRTPFRequestsIssuedAtCache,89
I, 2023-03-21 17,23,50,295, [080-exec-3],           Controller, 1c04f04dcfc5, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls6, Run,1, Overall Query Processing Time,99, Query Planning Time,43, Compile Time,0, Execution time,56,overallNumberOfRequestsIssuedAtCache,61,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,49,numberOfBRTPFRequestsIssuedAtCache,9
I, 2023-03-21 17,23,51,870, [080-exec-4],           Controller, da35ea758553, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls7, Run,1, Overall Query Processing Time,532, Query Planning Time,35, Compile Time,2, Execution time,495,overallNumberOfRequestsIssuedAtCache,210,numberOfSPARQLRequestsIssuedAtCache,42,numberOfTPFRequestsIssuedAtCache,46,numberOfBRTPFRequestsIssuedAtCache,122
